x,y,z,w
11.9472,68.6294,71.7445,0.0004
64.1042,13.7732,75.5046,26.6384
64.5830,26.4982,71.6022,33.9648
31.3250,48.4404,81.6840,41.5483
1.4133,70.3890,71.0168,33.5575
52.3136,44.8641,72.4603,20.8743
67.5622,11.7916,72.7757,42.3083
42.4400,55.0978,71.8546,20.8000
4.4998,69.7835,71.4843,13.1226
42.5885,55.7987,71.2231,31.6319
56.0900,41.2539,71.7777,12.3519
7.8076,67.8472,73.0465,32.5759
34.5160,60.6224,71.6490,13.6355
42.5769,55.6421,71.3524,11.8887
49.6205,50.2590,70.7943,24.3259
48.8773,50.0174,71.4791,45.2327
61.9993,33.4040,70.9948,49.3321
10.1102,68.6413,72.0150,47.3882
60.5060,35.0758,71.4753,13.8541
4.5250,68.8010,72.4289,47.0490
